timestamp,generation,candidate_idx,score,base_score,final_score,model_name,system_prompt,user_prompt,system_original_prompt,system_paraphrased_prompt,user_original_prompt,user_paraphrased_prompt
2026-05-11T15:07:56.480795+00:00,4,1,8.9975375,9.0,8.9975375,mmr_k4,"Answer based on retrieved evidence.

Original prompt:
Use retrieved evidence before answering.","REWRITTEN PROMPT:
Please respond to the following question: {input}

Original prompt:
Question:
{input}",Use retrieved evidence before answering.,"Answer based on retrieved evidence.

Original prompt:
Use retrieved evidence before answering.","Question:
{input}","REWRITTEN PROMPT:
Please respond to the following question: {input}

Original prompt:
Question:
{input}"
2026-05-11T15:03:12.886140+00:00,2,0,8.9975375,9.0,8.9975375,mmr_k4,"Answer based on retrieved evidence.

Original prompt:
Use retrieved evidence before answering.","REWRITTEN PROMPT:
Please respond to the following question: {input}

Original prompt:
Question:
{input}",Use retrieved evidence before answering.,"Answer based on retrieved evidence.

Original prompt:
Use retrieved evidence before answering.","Question:
{input}","REWRITTEN PROMPT:
Please respond to the following question: {input}

Original prompt:
Question:
{input}"
2026-05-11T15:07:25.355119+00:00,4,0,8.830870833333334,8.833333333333334,8.830870833333334,mmr_k4,"Answer based on retrieved evidence.

Original prompt:
Use retrieved evidence before answering.","REWRITTEN PROMPT:
Please respond to the following question: {input}

Original prompt:
Question:
{input}",Use retrieved evidence before answering.,"Answer based on retrieved evidence.

Original prompt:
Use retrieved evidence before answering.","Question:
{input}","REWRITTEN PROMPT:
Please respond to the following question: {input}

Original prompt:
Question:
{input}"
2026-05-11T15:05:19.813997+00:00,3,0,8.830870833333334,8.833333333333334,8.830870833333334,mmr_k4,"Answer based on retrieved evidence.

Original prompt:
Use retrieved evidence before answering.","REWRITTEN PROMPT:
Please respond to the following question: {input}

Original prompt:
Question:
{input}",Use retrieved evidence before answering.,"Answer based on retrieved evidence.

Original prompt:
Use retrieved evidence before answering.","Question:
{input}","REWRITTEN PROMPT:
Please respond to the following question: {input}

Original prompt:
Question:
{input}"
2026-05-11T15:01:09.428919+00:00,1,0,8.830870833333334,8.833333333333334,8.830870833333334,mmr_k4,"Answer based on retrieved evidence.

Original prompt:
Use retrieved evidence before answering.","REWRITTEN PROMPT:
Please respond to the following question: {input}

Original prompt:
Question:
{input}",Use retrieved evidence before answering.,"Answer based on retrieved evidence.

Original prompt:
Use retrieved evidence before answering.","Question:
{input}","REWRITTEN PROMPT:
Please respond to the following question: {input}

Original prompt:
Question:
{input}"
2026-05-11T15:04:16.427766+00:00,2,2,8.664954166666666,8.666666666666666,8.664954166666666,mmr_k4,"Answer based on retrieved evidence.

Original prompt:
Use retrieved evidence before answering.","{input}

Original prompt:
Question:
{input}",Use retrieved evidence before answering.,"Answer based on retrieved evidence.

Original prompt:
Use retrieved evidence before answering.","Question:
{input}","{input}

Original prompt:
Question:
{input}"
2026-05-11T15:06:53.940267+00:00,3,3,8.664204166666666,8.666666666666666,8.664204166666666,mmr_k4,"Answer based on retrieved evidence.

Original prompt:
Use retrieved evidence before answering.","REWRITTEN PROMPT:
Please respond to the following question: {input}

Original prompt:
Question:
{input}",Use retrieved evidence before answering.,"Answer based on retrieved evidence.

Original prompt:
Use retrieved evidence before answering.","Question:
{input}","REWRITTEN PROMPT:
Please respond to the following question: {input}

Original prompt:
Question:
{input}"
2026-05-11T15:00:05.463242+00:00,0,2,8.664204166666666,8.666666666666666,8.664204166666666,mmr_k4,"Answer based on retrieved evidence.

Original prompt:
Use retrieved evidence before answering.","REWRITTEN PROMPT:
Please respond to the following question: {input}

Original prompt:
Question:
{input}",Use retrieved evidence before answering.,"Answer based on retrieved evidence.

Original prompt:
Use retrieved evidence before answering.","Question:
{input}","REWRITTEN PROMPT:
Please respond to the following question: {input}

Original prompt:
Question:
{input}"
2026-05-11T15:04:48.589176+00:00,2,3,8.580870833333334,8.583333333333334,8.580870833333334,mmr_k4,"Answer based on retrieved evidence.

Original prompt:
Use retrieved evidence before answering.","REWRITTEN PROMPT:
Please respond to the following question: {input}

Original prompt:
Question:
{input}",Use retrieved evidence before answering.,"Answer based on retrieved evidence.

Original prompt:
Use retrieved evidence before answering.","Question:
{input}","REWRITTEN PROMPT:
Please respond to the following question: {input}

Original prompt:
Question:
{input}"
2026-05-11T15:03:45.580313+00:00,2,1,8.4982875,8.5,8.4982875,mmr_k4,"Answer based on retrieved evidence.

Original prompt:
Use retrieved evidence before answering.","{input}

Original prompt:
Question:
{input}",Use retrieved evidence before answering.,"Answer based on retrieved evidence.

Original prompt:
Use retrieved evidence before answering.","Question:
{input}","{input}

Original prompt:
Question:
{input}"
